epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
96,9181.03,1.1393,1.43323,1.01109,0.01566,0.07175,0.48072,0.40505,0.45907,0.31762,0.47417,0.39907,0.44764,0.27769,1.47369,2.69822,2.13561,0.02371,0,0.0008119,0.0008119,0.0008119
97,9276.59,1.15362,1.50161,1.06549,0.01545,0.07401,0.45412,0.41339,0.43213,0.28348,0.52086,0.36529,0.39911,0.24084,1.49016,2.6873,2.19908,0.02382,0,0.00080992,0.00080992,0.00080992
98,9371.52,1.13782,1.4286,0.93019,0.01473,0.06932,0.49789,0.41108,0.43309,0.28728,0.44146,0.38249,0.38286,0.24689,1.48726,2.64441,2.24602,0.02391,0,0.00080794,0.00080794,0.00080794
99,9466.66,1.0886,1.40146,0.90878,0.01532,0.06525,0.5266,0.35963,0.39894,0.27606,0.50185,0.36393,0.37729,0.23981,1.48556,2.79075,2.18425,0.02341,0,0.00080596,0.00080596,0.00080596
100,9561.52,1.11319,1.44584,0.91065,0.01473,0.07153,0.59632,0.38282,0.43852,0.29586,0.62737,0.35682,0.42339,0.26472,1.51885,2.61406,2.16771,0.02432,0,0.00080398,0.00080398,0.00080398
101,9656.47,1.11906,1.42386,0.92591,0.01513,0.07074,0.65694,0.35242,0.42472,0.28925,0.65349,0.3475,0.41234,0.26115,1.50066,2.70072,2.24947,0.02307,0,0.000802,0.000802,0.000802
102,9751.52,1.186,1.44964,0.96772,0.0157,0.07103,0.64599,0.359,0.43311,0.3035,0.63525,0.35147,0.42059,0.26572,1.48756,2.64861,2.17731,0.02329,0,0.00080002,0.00080002,0.00080002
103,9846.53,1.18141,1.42527,0.93954,0.01568,0.06942,0.60246,0.34632,0.43672,0.30018,0.72442,0.32768,0.42888,0.26567,1.51816,2.51005,2.26653,0.02407,0,0.00079804,0.00079804,0.00079804
104,9941.78,1.11007,1.43452,0.90666,0.01525,0.06803,0.63806,0.318,0.38862,0.26094,0.62701,0.30998,0.37425,0.22844,1.48428,2.61839,2.17149,0.02386,0,0.00079606,0.00079606,0.00079606
105,10036.8,1.09762,1.50387,0.90922,0.01532,0.06726,0.54349,0.35218,0.39343,0.27891,0.5561,0.35608,0.39839,0.24728,1.42876,2.53945,2.12513,0.02315,0,0.00079408,0.00079408,0.00079408
106,10131.7,1.11379,1.41509,0.95051,0.01501,0.07459,0.59004,0.36802,0.42728,0.29802,0.58123,0.36062,0.40322,0.25009,1.46894,2.62986,2.16938,0.02393,0,0.0007921,0.0007921,0.0007921
107,10226.8,1.05766,1.43815,0.89684,0.01421,0.07129,0.52731,0.40146,0.44399,0.30616,0.5214,0.39684,0.42616,0.27352,1.4465,2.54617,2.21874,0.0239,0,0.00079012,0.00079012,0.00079012
108,10321.7,1.06823,1.35222,0.82224,0.01511,0.06505,0.62091,0.39393,0.43456,0.30164,0.6135,0.38889,0.42564,0.25979,1.49391,2.55207,2.19157,0.02444,0,0.00078814,0.00078814,0.00078814
109,10416.4,1.11028,1.44434,1.00474,0.01442,0.07188,0.58138,0.39803,0.42027,0.2943,0.57055,0.38858,0.3969,0.25755,1.48326,2.57423,2.19079,0.02407,0,0.00078616,0.00078616,0.00078616
110,10511.1,1.08912,1.36802,0.82333,0.01413,0.06949,0.60469,0.39105,0.44934,0.31134,0.59707,0.38512,0.43397,0.273,1.46694,2.61627,2.16346,0.02326,0,0.00078418,0.00078418,0.00078418
111,10606.2,1.08431,1.34448,0.8772,0.01424,0.06725,0.49926,0.38632,0.39228,0.27272,0.46712,0.35687,0.36439,0.22498,1.44944,2.76037,2.2626,0.02346,0,0.0007822,0.0007822,0.0007822
112,10701.3,1.07024,1.39514,0.89006,0.0148,0.06726,0.50552,0.38379,0.40468,0.27805,0.50015,0.37672,0.38799,0.23649,1.44134,2.59803,2.25379,0.02277,0,0.00078022,0.00078022,0.00078022
113,10796.8,1.07789,1.3827,0.89504,0.01413,0.06456,0.60764,0.36462,0.43377,0.29042,0.6029,0.35807,0.42137,0.25724,1.48324,2.57393,2.15967,0.02415,0,0.00077824,0.00077824,0.00077824
114,10892.1,1.06834,1.30875,0.89207,0.01395,0.0663,0.57844,0.38517,0.41893,0.29601,0.57313,0.38158,0.40725,0.26068,1.49585,2.60852,2.3398,0.02406,0,0.00077626,0.00077626,0.00077626
115,10987.7,1.08269,1.37354,0.85225,0.01439,0.06387,0.56198,0.33641,0.41844,0.28989,0.55119,0.32644,0.3999,0.25491,1.47232,2.78707,2.28129,0.02313,0,0.00077428,0.00077428,0.00077428
